COMMON	ATM	ATR	BAP1	BLM	BRCA1	BRCA2	BRIP1	CDK12	CENPA	CENPK	CENPL	CENPM	CENPN	CENPU	CENPW	CHEK1	CHEK2	FANCA	FANCC	FANCD2	FANCE	FANCF	HJURP	MRE11	NDC80	NLRP2	NUF2	OIP5	PALB2	RAD51B	RAD51C	RAD51D	SPC24	SPC25	TP53	WRN	ZWINT	
GENE_ID	472	545	8314	641	672	675	83990	51755	1058	64105	91687	79019	55839	79682	387103	1111	11200	2175	2176	2177	2178	2188	55355	4361	10403	55655	83540	11339	79728	5890	5889	5892	147841	57405	7157	7486	11130	
TCGA-A7-A3J0-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.821	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.7036	-0.4542	-0.8087	-0.2533	-0.4901	-0.8114	-0.4833	-0.3311	1.5085	0.5167	-0.427	0.1172	0.2305	-0.5681	
TCGA-AQ-A0Y5-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.724	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.32	-0.9791	-0.3103	-0.8534	0.0465	0.9487	-0.3591	-1.1941	1.2369	-0.7581	-1.0522	-1.0818	0.0478	-0.3711	
TCGA-E9-A22H-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.5971	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.5918	0.6741	-0.804	2.9331	0.4747	3.1691	0.1923	1.5545	0.7904	-0.0684	1.6223	0.2976	0.1698	0.5659	
TCGA-AR-A24S-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.4574	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.0968	1.0811	1.5697	0.9344	-0.4508	-0.2944	-0.2331	1.055	-0.4706	0.8231	0.7712	0.3231	-0.3137	0.4198	
TCGA-EW-A1IW-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.4667	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.6091	0.1679	0.6609	1.0345	0.7393	1.0184	0.0769	1.1306	-1.0789	0.5842	0.4131	-0.7574	1.5099	0.3991	
TCGA-A7-A0CH-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.6827	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.8199	-0.6358	0.2998	-0.2677	-0.5543	1.4766	0.0796	-0.04	-0.3697	-0.6865	-0.6451	-0.002	-0.0147	-0.6162	
TCGA-AR-A24H-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.7607	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.9235	1.2474	-0.7547	4.9234	2.6297	3.8061	-0.127	3.0981	4.2275	0.4914	1.1035	-2.2023	2.7418	0.8275	
TCGA-E9-A5UO-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.8767	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.3176	-0.4021	-0.0218	-0.1369	2.3192	-0.97	-0.3251	0.4226	4.9908	-0.1717	-0.3434	-1.7745	-0.5677	3.8208	
TCGA-LL-A5YP-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.3964	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.431	0.5188	3.0794	2.4059	0.0424	-0.1449	0.1981	-0.1337	-0.0538	0.0642	0.9155	1.4088	-1.3047	1.7069	
